"Company Name","Location","Description","Season","Type","Categories","Score"
"Coris","San Francisco, CA, USA","AI risk and ops platform for Payment Processors, Banks, SaaS…","Summer 2022","B2B","Infrastructure",25
"Awtomic","Seattle, WA, USA","Dollar Shave Club as a platform.","Summer 2020","B2B","Retail",25
"BlueCargo","Los Angeles, CA, USA","The automated solution for complex freight transactions.","Summer 2018","B2B","Supply Chain and Logistics",25
"Handl","San Francisco, CA, USA","Handl converts documents (invoices, income stabs, custom forms, etc.)…","Winter 2020","B2B","Operations",25
"Chargehound","Oakland, CA, USA","Automate your chargeback dispute process. (Acquired by PayPal)","Winter 2014","B2B","Finance and Accounting",25
"flexEngage","Orlando, FL, USA","Dynamic transactional communications for physical stores to help…","Winter 2016","B2B","Retail",25
"Fibo","San Francisco, CA, USA","SaaS calendar and messaging for SMBs","Winter 2017","B2B","Productivity",25
"Alguna","San Francisco, CA, USA","AI-Native CPQ & Billing for Modern Pricing Models","Summer 2023","B2B","Finance and Accounting",20
"TaxGPT","San Francisco, CA, USA","AI tax assistant for professionals and businesses","Summer 2024","B2B","Finance and Accounting",18
"ProSights","New York, NY, USA","ProSights is an AI-native data extraction tool for financial…","Winter 2024","B2B","Productivity",18
"Campfire","San Francisco, CA, USA","A modern version of NetSuite","Summer 2023","B2B","Finance and Accounting",18
"Metal","New York, NY, USA","Institutional Intelligence for Private Equity","Winter 2023","B2B","Finance and Accounting",18
"inBuild","Wilmington, DE, USA","Workflow Automation for Construction Finance","Winter 2023","B2B","",18
"Truewind","San Francisco, CA, USA","AI-Powered Accounting","Winter 2023","B2B","Finance and Accounting",18
"Thera","New York, NY, USA","AI-Native Finance OS","Summer 2022","B2B","",18
"Layerup","San Francisco, CA, USA","Agentic AI OS for Financial Services and Insurance","Summer 2022","B2B","",18
"Flagright","San Francisco, CA, USA","AI-native AML compliance platform for fintechs & banks","Winter 2022","B2B","",18
"Agave","San Francisco, CA, USA","Financial Operations Platform for Construction","Winter 2022","B2B","",18
"Aleph","New York, NY, USA","One source of truth for financial data.","Summer 2021","B2B","Finance and Accounting",18
"Confido","New York, NY, USA","AI-enabled financial automation and intelligence for CPG Brands","Summer 2021","B2B","Finance and Accounting",18
"Soraban","Tempe, AZ, USA","AI assistant for accounting firms","Winter 2021","B2B","Finance and Accounting",18
"Blue Onion","New York, NY, USA","Financial data layer for AI-powered finance and accounting","Summer 2020","B2B","Finance and Accounting",18
"Benepass","New York, NY, USA","Fintech for corporate compensation","Winter 2020","B2B","Human Resources",18
"Rutter","New York, NY, USA","The Unified API for Business Financial Data","Summer 2019","B2B","Engineering, Product and Design",18
"MixRank","San Francisco, CA, USA","Data products for sales, marketing, finance, recruiting, and more.","Summer 2011","B2B","",18
"NexTravel","San Francisco, CA, USA","NexTravel is a centralized travel booking platform that helps…","Winter 2015","B2B","Finance and Accounting",18
"Abacus","New York, NY, USA","Making expense reports obsolete","Winter 2014","B2B","Finance and Accounting",18
"Proper","San Francisco, CA, USA","Reconciliation and financial operations platform","Winter 2022","B2B","Finance and Accounting",18
"Finmark","Raleigh, NC, USA","Financial planning software for startups","Summer 2020","B2B","Finance and Accounting",18
"Symple","San Francisco, CA, USA","Last mile logistics for delivery & service teams. We bring real-time…","Summer 2016","B2B","Finance and Accounting",18
"Bonsai","Boulder, CO, USA","The all-in-one solution for small businesses and self-employed.","Winter 2016","B2B","Finance and Accounting",18
"Merlin AI","Los Angeles, CA, USA","AI powered ERP for Construction","Summer 2024","B2B","",15
"Capitol AI","Washington, DC, USA","Model-agnostic AI for enterprises: governed, embedded, decision-grade.","Summer 2024","B2B","Productivity",15
"Giga","San Francisco, CA, USA","AI Support Agent for Enterprises.","Summer 2023","B2B","Engineering, Product and Design",15
"refine","San Francisco, CA, USA","Open-source Retool for enterprise","Summer 2023","B2B","Engineering, Product and Design",15
"Odigos Technologies Inc.","Boston, MA, USA","Enterprise-Grade OpenTelemetry","Winter 2023","B2B","Infrastructure",15
"Credal.ai","New York, NY, USA","Connect AI to every tool. Enterprise security built in.","Winter 2023","B2B","Productivity",15
"Reflex","San Francisco, CA, USA","The operating system for building mission-critical enterprise apps.","Winter 2023","B2B","Infrastructure",15
"Dynamo AI","San Francisco, CA, USA","Compliant-Ready AI for the Enterprise","Winter 2022","B2B","",15
"Epsilon3","Los Angeles, CA, USA","AI-Powered ERP, MES, and Test Software for Complex Operations","Summer 2021","B2B","Operations",15
"Svix","San Francisco, CA, USA","Enterprise ready webhooks service, open-source and in the cloud","Winter 2021","B2B","Infrastructure",15
"Mutiny","New York, NY, USA","AI for Enterprise GTM","Summer 2018","B2B","Marketing",15
"Glowing.io","Las Vegas, NV, USA","Unified, enterprise messaging platform for leading brands of the world","Winter 2018","B2B","",15
"Recurrency","San Francisco, CA, USA","Automated ERP for distributors.","Summer 2020","B2B","Sales",15
"BuildBuddy","Palo Alto, CA, USA","BuildBuddy provides enterprise features for Bazel — the open source…","Winter 2020","B2B","Infrastructure",15
"Foxpass","San Francisco, CA, USA","Making enterprise security practices available for all companies.","Summer 2015","B2B","Security",15
"Uiflow","San Francisco, CA, USA","No-code platform for enterprise software companies","Winter 2021","B2B","Engineering, Product and Design",15
"Humanloop","San Francisco, CA, USA","Humanloop is the LLM evals platform for enterprises.","Summer 2020","B2B","Engineering, Product and Design",15
"AeroFS","Palo Alto, CA, USA","Secure Enterprise Collaboration.","Summer 2010","B2B","Infrastructure",15
"Geosite","Palo Alto, CA, USA","Geosite is an enterprise SaaS platform for spatial data.","Winter 2019","B2B","Operations",15
"Meadow","San Francisco, CA, USA","Point of Sale and Compliance SaaS for Cannabis Dispensaries","Winter 2015","B2B","Retail",10
"Flightfox","Boulder, CO, USA","A platform to plan, book and manage global and group travel.","Summer 2012","B2B","Operations",10
"BackerKit","San Francisco, CA, USA","The only end-to-end crowdfunding platform built for today’s creators","Summer 2012","B2B","Sales",10
"Mth Sense","San Jose, CA, USA","We're a mobile on-device profiling and ad-serving platform initially…","Summer 2012","B2B","Marketing",10
"Didit","San Francisco, CA, USA","All-in-one identity platform for fast human verification.","Winter 2026","B2B","Infrastructure",10
"F2","New York, NY, USA","The AI platform for private markets investors","Summer 2025","B2B","Engineering, Product and Design",10
"CodeAnt AI","San Francisco, CA, USA","AI Code Health Platform","Winter 2024","B2B","Engineering, Product and Design",10
"PointOne","New York, NY, USA","AI Time Platform for Law Firms","Winter 2024","B2B","Infrastructure",10
"Momentic","San Francisco, CA, USA","The AI-native automated testing platform","Winter 2024","B2B","Engineering, Product and Design",10
"Reducto","San Francisco, CA, USA","The most accurate API to parse documents","Winter 2024","B2B","Engineering, Product and Design",10
"Gumloop","San Francisco, CA, USA","A no-code platform for creating agents and automating workflows with…","Winter 2024","B2B","",10
"Maven Bio","Boston, MA, USA","The AI Platform for Life Sciences Intelligence","Summer 2023","B2B","",10
"Hyperbound","San Francisco, CA, USA","Revenue Activation Platform","Summer 2023","B2B","Sales",10
"Artie","San Francisco, CA, USA","Software that streams data from databases to warehouses in real-time","Summer 2023","B2B","Infrastructure",10
"Pierre","San Francisco, CA, USA","Pierre is a new, opinionated, git platform.","Winter 2023","B2B","Engineering, Product and Design",10
"Warp","New York, NY, USA","AI-native Employee Management Platform for High-Growth Companies","Winter 2023","B2B","",10
"Vellum","New York, NY, USA","The AI Product Development Platform","Winter 2023","B2B","Engineering, Product and Design",10
"Omnistrate","Redwood City, CA, USA","Transform any software to multi-cloud SaaS in minutes not years","Winter 2023","B2B","",10
"Middleware","San Francisco, CA, USA","AI-based full stack observability platform","Winter 2023","B2B","Infrastructure",10
"Infisical","San Francisco, CA, USA","Unified platform for secrets, certs, and privileged access management","Winter 2023","B2B","Security",10
"Firecrawl","San Francisco, CA, USA","The web data API for AI","Summer 2022","B2B","",10
"Quindar","Denver, CO, USA","The platform to monitor and automate satellite operations","Summer 2022","B2B","",10
"Peoplebox.ai","San Francisco, CA, USA","AI talent platform to hire, manage, and grow your people","Summer 2022","B2B","Human Resources",10
"Disclo","Austin, TX, USA","Health disclosure and accommodation management platform","Summer 2022","B2B","Human Resources",10
"Boostly","Lehi, UT, USA","Premier growth platform for restaurants","Summer 2022","B2B","Marketing",10
"ngrow.ai","San Francisco, CA, USA","Low-code SaaS for marketing in push notifications","Winter 2022","B2B","Marketing",10
"Theneo","San Francisco, CA, USA","Stripe-like API Docs in just a few clicks","Winter 2022","B2B","Engineering, Product and Design",10
"Cogram","New York, NY, USA","The AI Platform for Architects, Builders, and Engineers","Winter 2022","B2B","Productivity",10
"Mintlify","San Francisco, CA, USA","The intelligent documentation platform","Winter 2022","B2B","Engineering, Product and Design",10
"IOMETE","Mountain View, CA, USA","Self-hosted data lakehouse platform","Winter 2022","B2B","Infrastructure",10
"RedBrick AI","Claymont, DE, USA","Rapid medical data annotation","Winter 2022","B2B","",10
"Agentnoon","Toronto, ON, Canada","Org design and workforce planning platform to drive org transformation","Winter 2022","B2B","Human Resources",10
"Unlayer","San Francisco, CA, USA","Unlayer makes embeddable email and web editing software.","Winter 2022","B2B","Productivity",10
"Atlas","San Francisco, CA, USA","Modern customer support platform replacement for Intercom and Zendesk","Winter 2022","B2B","Operations",10
"Olark","Ann Arbor, MI, USA","The best live chat software on the planet. We help you build…","Summer 2009","B2B","Retail",10
"Plai","Los Angeles, CA, USA","Create, launch, and optimize Facebook ads and ads on 10+ platforms","Summer 2021","B2B","Marketing",10
"ContraForceMc","Kinney, TX, USA","Security Delivery Platform to orchestrate AI agents for Service…","Summer 2021","B2B","Security",10
"Storylane","Santa Clara, CA, USA","Build Interactive Product Demo in 10 mins for SaaS companies","Summer 2021","B2B","",10
"Genuity","Chicago, IL, USA","SaaS Platform to manage IT and buy business software","Summer 2021","B2B","",10
"Coast","New York, NY, USA","Demo Platform for API-First Companies","Summer 2021","B2B","",10
"Brite","Salt Lake City, UT, USA","Software that helps employees pick their employee benefits.","Summer 2021","B2B","Human Resources",10
"hotglue","Washington, DC, USA","Native user-facing SaaS integrations for your customers","Summer 2021","B2B","Engineering, Product and Design",10
"AXAR AI","Mountain View, CA, USA","Multi-agent orchestration platform","Winter 2021","B2B","Engineering, Product and Design",10
"SwiftSku","New York, NY, USA","Management and analytics software for convenience stores","Winter 2021","B2B","Retail",10
"Mayan","Las Vegas, NV, USA","A growth automation platform for Amazon sellers","Winter 2021","B2B","Operations",10
"Waydev","Menlo Park, CA, USA","The Engineering Intelligence Platform | DORA, SPACE, DX, CORE 4","Winter 2021","B2B","Productivity",10
"Feroot Security","Toronto, ON, Canada","AI-powered Compliance Platform for PCI 4, CCPA, HIPAA, CIPA, 50+ laws","Winter 2021","B2B","Security",10
"Resquared","Philadelphia, PA, USA","Marketing automation platform for selling to local businesses.","Winter 2021","B2B","Marketing",10
"Hudu","Fort Collins, CO, USA","The Most-Loved IT Documentation Platform","Winter 2021","B2B","Operations",10
"Expent Inc","Fremont, CA, USA","Procure the right software 5x faster","Winter 2021","B2B","Operations",10
"Spokn","New York, NY, USA","AI-powered video platform for Internal Comms and HR teams","Winter 2021","B2B","Operations",10
"Notabene","New York, NY, USA","The Notabene platform is the trust layer for global money movement.","Summer 2020","B2B","Security",10
"Mesh","San Jose, CA, USA","Performance management platform that fits the way you work","Summer 2020","B2B","Human Resources",10
"Atomic","San Francisco, CA, USA","API that lets companies embed investment accounts into their services","Summer 2020","B2B","Retail",10
"Seam","San Francisco, CA, USA","API for IoT Devices","Summer 2020","B2B","Engineering, Product and Design",10
"Recall.ai","San Francisco, CA, USA","The API to get recordings, transcripts, and metadata from meetings","Winter 2020","B2B","Engineering, Product and Design",10
"HireSweet","San Francisco, CA, USA","A talent acquisition software built for data-driven recruiting teams.","Winter 2020","B2B","Recruiting and Talent",10
"Zeo Route Planner","San Francisco, CA, USA","Route Optimisation platform for SMB in delivery & home services.","Winter 2020","B2B","Supply Chain and Logistics",10
"DeepSource","San Francisco, CA, USA","Unified DevSecOps platform, helping developers ship good code.","Winter 2020","B2B","Engineering, Product and Design",10
"Alloy Automation","New York, NY, USA","Alloy is a platform for building and managing SaaS integrations","Winter 2020","B2B","Engineering, Product and Design",10
"Nextmv","Philadelphia, PA, USA","A DecisionOps platform that accelerates optimization AI teams","Winter 2020","B2B","Engineering, Product and Design",10
"Explo","San Francisco, CA, USA","Embedded Analytics and Data Sharing Platform","Winter 2020","B2B","Analytics",10
"Paragon","Los Angeles, CA, USA","The embedded integration platform for SaaS apps.","Winter 2020","B2B","Engineering, Product and Design",10
"Accord","San Francisco, CA, USA","The Revenue Excellence Platform","Winter 2020","B2B","Sales",10
"Vendr","Boston, MA, USA","The AI negotiation agent to help you save money on SaaS.","Summer 2019","B2B","Operations",10
"Mobot","New York, NY, USA","Mobot is a QA-as-a-service platform using actual mechanical robots","Winter 2019","B2B","Engineering, Product and Design",10
"Imgix","San Francisco, CA, USA","The platform for your visual media.","Summer 2011","B2B","Infrastructure",10
"Thunkable","San Francisco, CA, USA","Thunkable is the no-code platform to build powerful native mobile apps","Winter 2016","B2B","Marketing",10
"Eden","San Francisco, CA, USA","Workplace software for people-centric companies.","Summer 2015","B2B","Human Resources",10
"SigOpt","San Francisco, CA, USA","SigOpt is an Optimization-as-a-Service platform that seamlessly tunes…","Winter 2015","B2B","Engineering, Product and Design",10
"Popular Pays","Chicago, IL, USA","Software for collaborating with content creators and influencers","Winter 2015","B2B","Marketing",10
"Moltin","Boston, MA, USA","eCommerce building blocks through simple APIs for websites & apps.…","Winter 2015","B2B","Retail",10
"YhatNY, USA","","End-to-end data science lifecycle management platform.","Winter 2015","B2B","Engineering, Product and Design",10
