Company Name,Location,Description,Season,Type,Categories
"Casetext","San Francisco, CA, USA","We make the world's laws free and understandable.","Summer 2013","B2B","Legal"
"Cognito","Palo Alto, CA, USA","Frictionless, modern identity verification that starts with just a…","Summer 2014","B2B","Engineering, Product and Design"
"Mio","Austin, TX, USA","Mio powers seamless communication between workplace chat apps.","Winter 2016","B2B","Engineering, Product and Design"
"Font Awesome","Bentonville, AR, USA","Icons and social logos for your website.","Summer 2015","B2B","Engineering, Product and Design"
"Clerky","Palo Alto, CA, USA","Makes legal paperwork easy for startups and their attorneys.","Summer 2011","B2B","Legal"
"Confident LIMS","Palo Alto, CA, USA","Laboratory Information Management System (LIMS) serving…","Summer 2015","B2B","Operations"
"SnapMagic","San Francisco, CA, USA","AI copilot for electronics design","Summer 2015","B2B","Engineering, Product and Design"
"Assembly","South San Francisco, CA, USA","Advanced manufacturing and distribution solutions (for China-based…","Summer 2015","B2B","Supply Chain and Logistics"
"Gemnote","San Leandro, CA, USA","Gemnote is the easiest way to design, create and send custom products.","Summer 2015","B2B","Office Management"
"Tara AI","San Jose, CA, USA","Meet Tara AI, your new engineering efficiency co-pilot.","Winter 2015","B2B","Productivity"
"Meadow","San Francisco, CA, USA","Point of Sale and Compliance SaaS for Cannabis Dispensaries","Winter 2015","B2B","Retail"
"eBrandvalue","Mountain View, CA, USA","Real-time Nielsen ratings for Brands.Accelerate marketing and product…","Winter 2015","B2B","Marketing"
"Makrwatch","New York, NY, USA","Scale new user acquisition with YouTube Creators","Winter 2015","B2B","Marketing"
"Tenjin","San Francisco, CA, USA","Mobile marketing analytics and infrastructure","Summer 2014","B2B","Marketing"
"Dyspatch","Victoria, BC, Canada","Two products to help everyone email better. Dyspatch.io - Email…","Winter 2014","B2B","Marketing"
"Zinc","San Francisco, CA, USA","The secret backbone of e-commerce.","Winter 2014","B2B","Retail"
"PiinPoint","Kitchener, ON, Canada","PiinPoint helps businesses find the best locations for growth","Winter 2014","B2B","Office Management"
"Etleap","San Francisco, CA, USA","Etleap is an ETL solution for creating perfect data pipelines.","Winter 2013","B2B","Infrastructure"
"Double Robotics","Burlingame, CA, USA","Telepresence robots","Summer 2012","B2B","Productivity"
"Flightfox","Boulder, CO, USA","A platform to plan, book and manage global and group travel.","Summer 2012","B2B","Operations"
"BackerKit","San Francisco, CA, USA","The only end-to-end crowdfunding platform built for today’s creators","Summer 2012","B2B","Sales"
"Upwave","San Francisco, CA, USA","Marketing analytics for the world's biggest brand marketers","Summer 2012","B2B","Operations"
"Zentail","Columbia, MD, USA","We're making ecommerce simple connecting brands with sales channels","Summer 2012","B2B","Supply Chain and Logistics"
"Mth Sense","San Jose, CA, USA","We're a mobile on-device profiling and ad-serving platform initially…","Summer 2012","B2B","Marketing"
"Rainforest","San Francisco, CA, USA","no-code end-to-end testing that integrates with any CI/CD pipeline","Summer 2012","B2B","Engineering, Product and Design"
"Didit","San Francisco, CA, USA","All-in-one identity platform for fast human verification.","Winter 2026","B2B","Infrastructure"
"MOVEdot","San Francisco, CA, USA","AI Agents for Hardware Engineering","Fall 2025","B2B","Engineering, Product and Design"
"F2","New York, NY, USA","The AI platform for private markets investors","Summer 2025","B2B","Engineering, Product and Design"
"Reacher","San Francisco, CA, USA","We automate creator marketing for the world's largest brands","Summer 2025","B2B",""
"Metis","San Francisco, CA, USA","Infrastructure to build reliable agents","Summer 2025","B2B","Infrastructure"
"Idler","San Francisco, CA, USA","Reinforcement learning environments.","Summer 2025","B2B","Engineering, Product and Design"
"GETASAP","San Francisco, CA, USA","8-hour Produce Distribution for Retailers of Any Size","Summer 2025","B2B","Supply Chain and Logistics"
"QualGent","San Francisco, CA, USA","AI Mobile App Quality Assurance Tester","Spring 2025","B2B",""
"Auctor","New York, NY, USA","The agentic operating system for modern system integrators.","Spring 2025","B2B",""
"RescueTime","Seattle, WA, USA","Take Back Control of your Time","Winter 2008","B2B","Productivity"
"AfterQuery","San Francisco, CA, USA","Research lab investigating the boundaries of AI capabilities.","Winter 2025","B2B","Infrastructure"
"AthenaHQ","San Francisco, CA, USA","Be the Answer in AI Search - AI SEO across SEO, GEO & AEO","Winter 2025","B2B","Marketing"
"SalesPatriot","San Francisco, CA, USA","We help defense firms win more contracts with the Pentagon","Winter 2025","B2B","Operations"
"Contrario","San Francisco, CA, USA","Fill critical roles faster with AI-empowered recruiters","Winter 2025","B2B","Recruiting and Talent"
"Origami","San Francisco, CA, USA","Find your perfect leads with one prompt","Fall 2024","B2B","Sales"
"Cekura","San Francisco, CA, USA","Voice AI and Chat AI agents: Testing and Observability","Fall 2024","B2B","Engineering, Product and Design"
"Delineate","Boston, MA, USA","Agents for Accelerated Clinical Trial Design","Winter 2025","B2B","Engineering, Product and Design"
"Merlin AI","Los Angeles, CA, USA","AI powered ERP for Construction","Summer 2024","B2B",""
"Capitol AI","Washington, DC, USA","Model-agnostic AI for enterprises: governed, embedded, decision-grade.","Summer 2024","B2B","Productivity"
"Pipeshift","San Francisco, CA, USA","Inference for real-time production workloads","Summer 2024","B2B","Infrastructure"
"Oway","San Francisco, CA, USA","AI Infrastructure for America’s Empty Truck Space","Summer 2024","B2B","Infrastructure"
"&AI","San Francisco, CA, USA","Collaborative workspace for patent litigators","Summer 2024","B2B","Legal"
"Cartage","San Francisco, CA, USA","Autonomous freight coordination","Summer 2024","B2B","Supply Chain and Logistics"
"Simple AI","San Francisco, CA, USA","AI voice that sells","Summer 2024","B2B","Sales"
"Intryc","San Francisco, CA, USA","Intryc uses AI to automate quality assurance for customer support","Summer 2024","B2B","Operations"
"Distro","Palo Alto, CA, USA","The AI co-pilot for sales reps at industrial wholesale distributors.","Summer 2024","B2B","Supply Chain and Logistics"
"Drillbit","Austin, TX, USA","Automating Office Work for Residential Contractors.","Summer 2024","B2B","Operations"
"Clearly AI","Seattle, WA, USA","Automate security and privacy reviews","Summer 2024","B2B","Security"
"TaxGPT","San Francisco, CA, USA","AI tax assistant for professionals and businesses","Summer 2024","B2B","Finance and Accounting"
"Wordware","San Francisco, CA, USA","AI agents you can rely on","Summer 2024","B2B","Infrastructure"
"Codes Health","New York, NY, USA","Medical Record Retrieval with Zero Human Error","Summer 2024","B2B",""
"Domu Technology Inc.","San Francisco, CA, USA","AI Agents for collections","Summer 2024","B2B","Engineering, Product and Design"
"Reform","San Francisco, CA, USA","Workflow automation. Built for logistics.","Winter 2024","B2B","Supply Chain and Logistics"
"Ryse","New York, NY, USA","The secondary market for real estate leases","Winter 2024","B2B",""
"ProSights","New York, NY, USA","ProSights is an AI-native data extraction tool for financial…","Winter 2024","B2B","Productivity"
"OffDeal","New York, NY, USA","AI-native investment bank for small businesses","Winter 2024","B2B",""
"Delve","San Francisco, CA, USA","AI that makes compliance effortless","Winter 2024","B2B","Security"
"Conduit","San Francisco, CA, USA","Conversational AI agents for Customer Service.","Winter 2024","B2B",""
"Toma","San Francisco, CA, USA","AI for Underserved Industries","Winter 2024","B2B","Operations"
"Carma","San Francisco, CA, USA","The AI Operating System For Modern Fleets.","Winter 2024","B2B","Operations"
"CodeAnt AI","San Francisco, CA, USA","AI Code Health Platform","Winter 2024","B2B","Engineering, Product and Design"
"sync.","San Francisco, CA, USA","AI lipsync tool for video content creators","Winter 2024","B2B",""
"Central","San Francisco, CA, USA","Payroll, benefits, state compliance & other bullsh*t for startups","Summer 2024","B2B","Human Resources"
